objectid,title,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
sgd_10c_1993_1,US Cent 2023,sgd_10c_1993_1,image/jpeg,1993,SGD,10,Cent,,singapore; money,Singapore,Image; Still Image,,,
eur_1c_2002_2,US Cent 2024,eur_1c_2002_2,image/jpeg,2002,EUR,1,Cent,,ireland;,Ireland,Image; Still Image,,,
unc_25k_1992_1,US Cent 2025,unc_25k_1992_1,image/jpeg,1992,UNC,25,Kopiyka,,ukraine;,Ukraine,Image; Still Image,,,
idr_100r_2005_1,US Cent 2026,idr_100r_2005_1,image/jpeg,2005,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
idr_100r_2000_1,US Cent 2027,idr_100r_2000_1,image/jpeg,2000,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
idr_100r_2002_1,US Cent 2028,idr_100r_2002_1,image/jpeg,2002,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
mxn_50c_1993_1,US Cent 2029,mxn_50c_1993_1,image/jpeg,1993,MXN,50,Cent,,mexico;,Mexico,Image; Still Image,,,
mxn_20c_1992_1,US Cent 2030,mxn_20c_1992_1,image/jpeg,1992,MXN,20,Cent,,mexico;,Mexico,Image; Still Image,,,
mxn_1d_2001_1,US Cent 2031,mxn_1d_2001_1,image/jpeg,2001,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
mxn_1d_1992_1,US Cent 2032,mxn_1d_1992_1,image/jpeg,1992,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
krw_100w_2001_1,US Cent 2033,krw_100w_2001_1,image/jpeg,2001,KRW,100,Won,,korea;,Korea,Image; Still Image,,,
cny_denom_year_1,US Cent 2034,cny_denom_year_1,image/jpeg,,CNY,,,,china;,China,Image; Still Image,,,
jpy_5y_year_1,US Cent 2035,jpy_5y_year_1,image/jpeg,,JPY,5,Yen,,japan;,Japan,Image; Still Image,,,
jpy_5y_year_2,US Cent 2036,jpy_5y_year_2,image/jpeg,,JPY,5,Yen,,japan;,Japan,Image; Still Image,,,
mxn_1d_year_1,US Cent 2037,mxn_1d_year_1,image/jpeg,,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
