objectid,title,filename,format,date,currency,amount,subunit,description,subject,location,type,rights,latitude,longitude
USD_50C_1998_42,US Cent 2022,unitedstates_50cents_2019,image/jpeg,1992,ESP,5,Peseta,,spain; money,Spain,Image; Still Image,,,
USD_50C_1998_43,US Cent 2023,unitedstates_50cents_2020,image/jpeg,1993,SGD,10,Cent,,singapore; money,Singapore,Image; Still Image,,,
USD_50C_1998_44,US Cent 2024,unitedstates_50cents_2021,image/jpeg,2002,EUR,1,Cent,,ireland;,Ireland,Image; Still Image,,,
USD_50C_1998_45,US Cent 2025,unitedstates_50cents_2022,image/jpeg,1992,UNC,25,Kopiyka,,ukraine;,Ukraine,Image; Still Image,,,
USD_50C_1998_46,US Cent 2026,unitedstates_50cents_2023,image/jpeg,2005,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
USD_50C_1998_47,US Cent 2027,unitedstates_50cents_2024,image/jpeg,2000,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
USD_50C_1998_48,US Cent 2028,unitedstates_50cents_2025,image/jpeg,2002,IDR,100,Rupiah,,indonesia;,Indonesia,Image; Still Image,,,
USD_50C_1998_49,US Cent 2029,unitedstates_50cents_2026,image/jpeg,1993,MXN,50,Cent,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_50,US Cent 2030,unitedstates_50cents_2027,image/jpeg,1992,MXN,20,Cent,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_51,US Cent 2031,unitedstates_50cents_2028,image/jpeg,2001,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_52,US Cent 2032,unitedstates_50cents_2029,image/jpeg,1992,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_53,US Cent 2033,unitedstates_50cents_2030,image/jpeg,2001,KRW,100,Won,,korea;,Korea,Image; Still Image,,,
USD_50C_1998_54,US Cent 2034,unitedstates_50cents_2031,image/jpeg,,CNY,,,,china;,China,Image; Still Image,,,
USD_50C_1998_55,US Cent 2035,unitedstates_50cents_2032,image/jpeg,,JPY,5,Yen,,japan;,Japan,Image; Still Image,,,
USD_50C_1998_56,US Cent 2036,unitedstates_50cents_2033,image/jpeg,,JPY,5,Yen,,japan;,Japan,Image; Still Image,,,
USD_50C_1998_57,US Cent 2037,unitedstates_50cents_2034,image/jpeg,,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_58,US Cent 2038,unitedstates_50cents_2035,image/jpeg,,MXN,1,Dollar,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_59,US Cent 2039,unitedstates_50cents_2036,image/jpeg,1987,CAD,1,Cent,,canada;,Canada,Image; Still Image,,,
USD_50C_1998_60,US Cent 2040,unitedstates_50cents_2037,image/jpeg,,BEF,25,Cent,,belgium;,Belgium,Image; Still Image,,,
USD_50C_1998_61,US Cent 2041,unitedstates_50cents_2038,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
USD_50C_1998_62,US Cent 2042,unitedstates_50cents_2039,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
USD_50C_1998_63,US Cent 2043,unitedstates_50cents_2040,image/jpeg,,CNY,1,,,china;,China,Image; Still Image,,,
USD_50C_1998_64,US Cent 2044,unitedstates_50cents_2041,image/jpeg,1972,MXN,5,Centavos,,mexico;,Mexico,Image; Still Image,,,
USD_50C_1998_65,US Cent 2045,unitedstates_50cents_2042,image/jpeg,2001,GBP,2,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_66,US Cent 2046,unitedstates_50cents_2043,image/jpeg,2016,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_67,US Cent 2047,unitedstates_50cents_2044,image/jpeg,2014,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_68,US Cent 2048,unitedstates_50cents_2045,image/jpeg,1992,GBP,10,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_69,US Cent 2049,unitedstates_50cents_2046,image/jpeg,?,GBP,50,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_70,US Cent 2050,unitedstates_50cents_2047,image/jpeg,1993,GBP,1,Pound,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_71,US Cent 2051,unitedstates_50cents_2048,image/jpeg,2006,GBP,5,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_72,US Cent 2052,unitedstates_50cents_2049,image/jpeg,2009,GBP,20,Pence,,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_73,US Cent 2053,unitedstates_50cents_2050,image/jpeg,2013,GBP,1,,British Penny,united kingdom;,United Kingdom,Image; Still Image,,,
USD_50C_1998_74,US Cent 2054,unitedstates_50cents_2051,image/jpeg,2008,EUR,1,Cent,,,,Image; Still Image,,,
